pet_id,age,birthday,breeds,created_at,diet,environment_type,gender,health_concerns,is_active,is_fixed,is_healthy,last_weight_reading,name,profile_image_path,s3_image_path,type,updated_at,magento_id,weight,weight_id_feature_enabled,whisker_products,metadata_delete,metadata_timestamp,metadata_id,is_deceased,date_of_death,adoption_date,adoption_type,pet_tag_id,meal_access,meal_schedule,personality,dry_food,wet_food
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,10.8,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.169463,true,[],false,2025-06-01 00:00:00+00,aef0ac9fe9df4af7968f129c13fee9e0,,,,,,,,,,
PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f,8,2017-02-06,"[""siberian""]",2025-02-01 01:12:00.795+00,BOTH,INDOOR,MALE,[],true,true,false,10.86,little nugg,2271543/PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f/1738373231,2271543/PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f/1738373231,CAT,2025-05-25 16:41:38.679+00,2271543,12.34576,true,[],false,2025-06-01 00:00:00+00,aef0ac9fe9df4af7968f129c13fee9e0,,,,,,,,,,
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,10.98,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.169463,true,[],false,2025-06-01 22:00:50.864455+00,024b9c6210ea423a8ef1fd0ea8f3d14d,,,,,,,,,,
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,11.1,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.169463,true,[],false,2025-06-02 23:49:23.234408+00,00e2db6ec5ec46d6b44054375cac5901,,,,,,,,,,
PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f,8,2017-02-06,"[""siberian""]",2025-02-01 01:12:00.795+00,BOTH,INDOOR,MALE,[],true,true,false,12.01,little nugg,2271543/PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f/1738373231,2271543/PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f/1738373231,CAT,2025-05-25 16:41:38.679+00,2271543,12.34576,true,[],false,2025-06-03 20:48:03.30958+00,9782af86788245ad9bf408ca70bba114,,,,,,,,,,
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,11.28,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.12307,true,[],false,2025-06-03 22:10:44.647696+00,9782af86788245ad9bf408ca70bba114,,,,,,,,,,
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,11.28,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.12307,true,[],false,2025-06-04 16:36:56.095235+00,a97b80ec2f0543ba9de78d777777e82d,,,,,,,,,,
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,11.41,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.12307,true,[],false,2025-06-05 16:30:47.264283+00,23bd803e6e374d2c8c95bcc3970d6921,,,,,,,,,,
PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc,15,2010-03-01,"[""maine_coon""]",2025-02-01 01:13:16.402+00,BOTH,INDOOR,MALE,"[""diabetes""]",true,true,false,11.34,jaspy,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,2271543/PET-3fbe0a41-2fb6-4a49-bb55-0dbaffa2f0fc/1738373521,CAT,2025-03-16 06:42:27.47+00,2271543,11.12307,true,[],false,2025-06-05 21:43:29.897038+00,c7e2a75a458c4518bb852ab9524cebd5,,,,,,,,,,
PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f,8,2017-02-06,"[""siberian""]",2025-02-01 01:12:00.795+00,BOTH,INDOOR,MALE,[],true,true,false,12.07,little nugg,2271543/PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f/1738373231,2271543/PET-6b7d31d1-d4cf-4f94-b698-6d01c87d486f/1738373231,CAT,2025-05-25 16:41:38.679+00,2271543,12.34576,true,[],false,2025-06-05 22:26:25.101886+00,60764d50e5384467bdd2fec33959c870,,,,,,,,,,
